Заказ=тумбочка
Дата=09.05.2020

Карта=1
Материал=ДВП ламинированная белая
Длина=2440
Ширина=1830
КоличествоПлит=1
КоличествоРезов=7
ДлинаРезов=8924
1	718,5	342	0	0	0
1	718,5	342	0	347	0
1	718,5	342	0	694	0
1	718,5	342	0	1041	0
Обрезок	1696,5	1810	723,5	0	0
Обрезок	718,5	422	0	1388	0


Заказ=
Дата=10.05.2020

Карта=1
Материал=ДСП бук
Длина=2440
Ширина=1830
КоличествоПлит=1
КоличествоРезов=35
ДлинаРезов=26493,5
11	900	400	0	0	0
12	900	400	0	405	0
13	768	400	0	810	0
14	768	400	0	1215	0
10	768	60	0	1620	0
10	768	60	0	1685	0
9	742,5	151	905	0	0
4	742,5	147	905	156	0
4	742,5	147	905	308	0
4	742,5	147	905	460	0
6	334	151	905	612	0
8	334	151	1244	612	0
5	334	147	905	768	0
5	334	147	1244	768	0
3	197	760	905	920	0
3	197	760	1107	920	0
3	197	760	1309	920	0
2	334	147	1652,5	0	0
2	334	147	1652,5	152	0
2	334	147	1652,5	304	0
5	334	147	1652,5	456	0
7	197	760	1652,5	608	0
Обрезок	428,5	1810	1991,5	0	0
Обрезок	334	437	0	1373	0
Обрезок	132	760	202	0	0
Обрезок	742,5	125	0	1685	0
Обрезок	136,5	760	606	0	0
Обрезок	127	400	773	0	0
Обрезок	127	400	773	0	0


Заказ=
Дата=10.05.2020

Карта=1
Материал=ДВП ламинированная белая
Длина=2440
Ширина=1830
КоличествоПлит=1
КоличествоРезов=7
ДлинаРезов=8924
1	718,5	342	0	0	0
1	718,5	342	0	347	0
1	718,5	342	0	694	0
1	718,5	342	0	1041	0
Обрезок	1696,5	1810	723,5	0	0
Обрезок	718,5	422	0	1388	0


Заказ=
Дата=11.05.2020

Карта=1
Материал=ДВП ламинированная белая
Длина=2440
Ширина=1830
КоличествоПлит=1
КоличествоРезов=12
ДлинаРезов=15169
7	540	1800	0	0	0
6	826,5	367	545	0	0
6	826,5	367	545	372	0
6	826,5	367	545	744	0
5	826,5	342	545	1116	0
5	826,5	342	545	1463	0
5	826,5	342	1376,5	0	0
Обрезок	212	1810	2208	0	0
